pc_code,pc_description,unit,country_code,country_name,quantity,value,Year

A1,Tea,Kgs,10397,Thailand,110732,0.80255,2014

A1,Tea,Kgs,10437,Vietnam Soc Rep,91510,0.581921,2014

A1,Tea,Kgs,11025,Baharain Is,360271,1.427965,2014

A1,Tea,Kgs,11191,Iraq,92777,0.197555,2014

A1,Tea,Kgs,11207,Jordan,63157,0.113969,2014

A1,Tea,Kgs,11219,Kuwait,795469,3.251818,2014

A1,Tea,Kgs,11225,Lebanon,8700,0.095829,2014

A1,Tea,Kgs,11301,Oman,413126,1.698172,2014

A1,Tea,Kgs,11335,Qatar,566590,2.406905,2014

A1,Tea,Kgs,11351,Saudi Arab,3355180,13.239334,2014

A1,Tea,Kgs,11391,Syria,103460,0.270254,2014

A1,Tea,Kgs,11419,U Arab Emts,13206784,44.075769,2014

A1,Tea,Kgs,11453,Yemen Republc,477000,0.74989,2014

A1,Tea,Kgs,12075,Taiwan,1167190,2.821237,2014

A1,Tea,Kgs,12195,Israel,441119,2.876722,2014

A1,Tea,Kgs,12215,Korea Dp Rp,11446,0.11721,2014

A1,Tea,Kgs,12247,Maldives,3701,0.030235,2014

A1,Tea,Kgs,13019,Austria,5365,0.024877,2014

A1,Tea,Kgs,13033,Belgium,501962,1.099275,2014

A1,Tea,Kgs,13101,Denmark,14357,0.247933,2014

A1,Tea,Kgs,13125,Finland,508768,2.06575,2014

A1,Tea,Kgs,13129,France,241096,1.807268,2014

A1,Tea,Kgs,13147,Germany,7945629,35.235075,2014

A1,Tea,Kgs,13155,Greece,9445,0.042381,2014

A1,Tea,Kgs,13193,Ireland,1287655,9.651324,2014

A1,Tea,Kgs,13197,Italy,1469868,8.605946,2014

A1,Tea,Kgs,13275,Netherland,3048962,17.645675,2014

A1,Tea,Kgs,13327,Portugal,9024,0.025691,2014

A1,Tea,Kgs,13367,Spain,263307,0.468252,2014

A1,Tea,Kgs,13387,Sweden,428286,1.899706,2014

A1,Tea,Kgs,13421,U K,18299569,57.147176,2014

A1,Tea,Kgs,14297,Norway,20129,0.200745,2014

A1,Tea,Kgs,14389,Switzerland,41141,0.462078,2014

A1,Tea,Kgs,15016,Armenia,1340,0.00692,2014

A1,Tea,Kgs,15021,Azerbaijan,41236,0.103133,2014

A1,Tea,Kgs,15049,Bulgaria,1000,0.003921,2014

A1,Tea,Kgs,15055,Belarus,54539,0.089491,2014

A1,Tea,Kgs,15092,Croatia,80,0.002068,2014

A1,Tea,Kgs,15098,Czech Republic,12819,0.183122,2014

A1,Tea,Kgs,15114,Estonia,8282,0.182097,2014

A1,Tea,Kgs,15145,Georgia,170800,0.569853,2014

A1,Tea,Kgs,15181,Hungary,1116,0.003993,2014

A1,Tea,Kgs,15212,Kazakhstan,17199551,54.353892,2014

A1,Tea,Kgs,15216,Kyrghyzstan,244440,0.824293,2014

A1,Tea,Kgs,15224,Latvia,75100,0.175134,2014

A1,Tea,Kgs,15234,Lithuania,31990,0.29285,2014

A1,Tea,Kgs,15260,Moldova,190,0.00099,2014

A1,Tea,Kgs,15325,Poland,4334113,10.636789,2014

A1,Tea,Kgs,15344,Russia,40865980,96.729925,2014

A1,Tea,Kgs,15352,Serbia,100,0.000627,2014

A1,Tea,Kgs,15354,Serbia Montngro,500,0.003348,2014

A1,Tea,Kgs,15358,Slovak Rep,87,0.00368,2014

A1,Tea,Kgs,15360,Slovenia,5807,0.017064,2014

A1,Tea,Kgs,15393,Tajikistan,176880,0.432774,2014

A1,Tea,Kgs,15410,Turkmenistan,26090,0.041695,2014

A1,Tea,Kgs,15422,Ukraine,2780443,6.7864,2014

A1,Tea,Kgs,15430,Uzbekistan,25920,0.067147,2014

A1,Tea,Kgs,16251,Malta,460,0.004555,2014

A1,Tea,Kgs,16409,Turkey,168535,0.426493,2014

A2,Coffee,Kgs,599,Unspecified,3335800,24.964531,2014

A2,Coffee,Kgs,1213,Kenya,76003,0.626963,2014

A2,Coffee,Kgs,1395,Tanzania Rep,514,0.002626,2014

A2,Coffee,Kgs,1417,Uganda,30,0.000059,2014

A2,Coffee,Kgs,2035,Benin,178050,1.730244,2014

A2,Coffee,Kgs,2050,Burkina Faso,68539,0.626998,2014

A2,Coffee,Kgs,2057,Cameroon,50715,0.398962,2014

A2,Coffee,Kgs,2067,C Afri Rep,8760,0.073436,2014

A2,Coffee,Kgs,2087,Congo P Rep,83702,0.739739,2014

A2,Coffee,Kgs,2199,Cote D' Ivoire,79723,0.766609,2014

A2,Coffee,Kgs,2255,Mauritania,103143,0.914914,2014

A2,Coffee,Kgs,2257,Mauritius,3714,0.01862,2014

A2,Coffee,Kgs,2289,Niger,187164,1.676762,2014

A2,Coffee,Kgs,2353,Senegal,276724,2.420804,2014

A2,Coffee,Kgs,2399,Togo,135347,1.31208,2014

A2,Coffee,Kgs,2459,Congo D. Rep.,13526,0.147416,2014

A2,Coffee,Kgs,3011,Angola,9000,0.067847,2014

A2,Coffee,Kgs,3041,Botswana,50,0.000389,2014

A2,Coffee,Kgs,3143,Gambia,69817,0.624564,2014

A2,Coffee,Kgs,3149,Ghana,169127,1.654506,2014

A2,Coffee,Kgs,3167,Guinea,22,0.000143,2014

A2,Coffee,Kgs,3169,Guinea Bissau,8040,0.07274,2014

A2,Coffee,Kgs,3229,Liberia,123,0.002306,2014

A2,Coffee,Kgs,3243,Malawi,205,0.002271,2014

A2,Coffee,Kgs,3249,Mali,56407,0.509729,2014

A2,Coffee,Kgs,3291,Nigeria,168203,1.486973,2014

A2,Coffee,Kgs,3355,Seychelles,196,0.000991,2014

A2,Coffee,Kgs,3357,Sierra Leone,28968,0.258063,2014

A2,Coffee,Kgs,4005,Algeria,262800,0.746799,2014

A2,Coffee,Kgs,4111,Egypt A Rp,1708300,4.366526,2014

A2,Coffee,Kgs,4231,Libya,6337712,15.985961,2014

A2,Coffee,Kgs,4265,Morocco,685200,1.76985,2014

A2,Coffee,Kgs,4365,South Africa,120110,0.563641,2014

A2,Coffee,Kgs,4407,Tunisia,13361,0.120477,2014

A2,Coffee,Kgs,5059,Canada,1068619,2.892066,2014

A2,Coffee,Kgs,5423,U S A,3828184,25.035494,2014

